target_junction,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,x,y
2337351365,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,211931.47,452763.22
243351999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,0,0,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,212743.37,451715.68
243352002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,212645.45,451851.2
243636066,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,212651.04,451704.74
243636067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,212674.36,451614.37
243636071,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,2,0,212671.78,451811.25
243636072,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,1,2,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,212567.66,451802.98
243636097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,212081.51,451658.98
243636103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212138.66,451615.5
243636120,0,0,0,0,0,0,2,1,0,4,3,1,1,1,1,2,1,0,0,3,7,4,5,0,0,0,1,0,0,2,5,5,6,10,9,10,5,6,1,1,0,0,1,0,1,1,0,3,4,3,211748.74,451769.58
243641575,0,0,0,0,0,0,1,2,0,1,0,1,1,1,0,0,2,3,1,1,2,3,0,2,0,0,1,2,0,1,1,0,3,3,5,6,8,2,1,5,3,0,3,1,0,2,3,1,2,2,212990.66,452191.68
243641576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212934.99,452174.14
243641583,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2,3,0,0,0,1,0,0,2,0,2,2,1,0,2,4,3,1,0,2,1,0,0,1,1,1,0,0,0,1,3,212873.56,452361.55
243641585,0,0,0,2,3,6,9,2,7,10,0,3,2,3,4,6,10,4,2,5,0,8,6,7,13,6,8,8,14,11,9,11,10,11,9,7,11,10,11,8,16,18,8,16,8,5,11,5,11,4,212838.9,452442.96
243749518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,212732.0,452562.83
243749545,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,1,0,0,1,0,212628.08,452625.24
243749561,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211996.92,452411.88
243749571,0,0,0,0,1,1,2,1,3,1,0,1,0,1,0,0,0,0,0,1,0,1,1,2,5,0,1,7,3,2,0,0,1,2,1,0,0,1,1,1,0,0,4,1,1,3,2,7,1,0,212210.48,452949.86
245975606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,212595.11,451987.44
245975611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212677.88,452008.64
245975614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212724.94,451867.07
247957628,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,3,1,0,0,2,4,1,2,1,2,0,1,4,1,2,1,3,2,5,5,4,8,6,2,3,2,2,0,4,2,0,0,1,2,213157.53,451982.0
249176474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,213191.28,451809.71
267408897,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,1,4,0,0,0,0,4,1,0,0,3,3,0,0,213617.16,452036.04
267408977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,213147.57,451724.12
267517557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,213628.62,452137.18
267517558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213619.75,452148.09
267517559,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,2,0,1,213389.93,452295.98
267517560,0,0,0,1,0,1,0,0,2,0,3,5,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,6,1,1,1,0,2,0,3,213485.52,452302.28
267517561,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,4,0,2,0,1,0,213494.63,452087.44
267782464,0,0,0,0,0,0,1,0,0,5,0,0,8,2,4,2,0,3,3,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,4,1,1,5,2,7,1,1,2,0,213298.1,452289.06
267782465,0,0,1,0,0,0,1,1,0,4,0,4,0,0,5,0,1,3,3,3,4,1,0,1,0,0,0,1,0,1,2,0,0,1,1,0,0,0,1,1,4,1,2,1,3,3,5,0,4,0,213215.38,452276.2
267782468,0,0,0,0,0,0,0,2,7,0,2,1,1,5,1,4,3,1,11,6,2,4,0,1,2,0,1,2,1,1,0,2,2,4,5,3,2,3,5,0,2,2,0,3,7,3,8,8,2,11,213043.74,452212.84
267782471,0,0,0,0,0,0,0,6,1,1,2,0,5,1,0,2,0,5,3,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,1,3,0,1,1,0,1,0,5,0,1,1,2,5,0,212929.98,452448.84
267782472,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0,9,1,0,0,2,7,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,1,0,5,1,0,2,2,5,1,213049.83,452459.43
267782476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213166.75,452049.92
267782478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,213264.5,452067.15
267782479,0,0,0,0,0,1,0,0,0,0,5,0,2,4,3,5,1,0,3,2,7,5,1,2,0,0,1,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,2,1,7,4,9,3,3,9,213180.58,452448.67
267782483,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,213245.36,452164.11
267782484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,213258.41,452102.16
267782490,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213399.82,452173.63
267782492,0,0,0,0,0,0,0,0,0,1,9,5,4,6,2,7,1,1,6,4,2,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,2,8,1,0,1,2,0,3,1,0,213283.12,452440.1
267783847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212871.35,452153.23
267783852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212832.32,452098.48
267783854,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,2,0,1,0,0,1,1,1,3,1,1,212841.86,452198.82
267783860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212929.66,452074.69
267783861,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212847.9,452050.07
267783873,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,2,1,1,0,0,0,0,1,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,212672.17,452138.05
267783877,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,3,4,1,1,0,0,1,1,1,0,0,1,212253.77,452056.74
267783883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212632.53,452273.52
267783890,0,0,0,0,0,3,0,4,6,0,3,4,4,2,1,4,2,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,10,2,6,4,4,4,0,1,1,4,4,212063.04,452221.08
267783891,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,2,1,8,2,0,2,2,0,1,0,0,1,1,1,0,211973.52,452077.56
267783900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,212054.09,452155.45
267783904,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,211830.25,451921.42
267783911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,212010.2,451851.44
267783914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,212052.06,451838.47
267783916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212093.16,451863.85
267783922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212293.71,451858.01
267783925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212410.65,451892.57
267783933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212171.87,451860.73
273472398,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,212292.04,452878.01
273472509,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213162.89,453140.28
273906183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,212029.47,450766.1
273906268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,211764.61,451326.94
273906281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212085.48,451362.79
273906286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212126.24,451558.7
273906289,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,1,0,0,5,1,0,1,0,1,0,0,0,0,3,4,1,2,7,0,2,2,2,0,1,0,0,0,0,0,0,0,2,2,0,2,212151.02,451665.85
273906290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212100.9,451438.8
274041325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,212803.06,451417.15
274041328,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,212801.8,451707.22
274041341,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,3,0,1,3,6,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,212893.09,451433.2
274041350,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212536.65,451598.84
274081797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212674.22,451277.37
274081800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212569.42,451359.06
274579648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,212546.12,451514.45
274579649,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,212436.37,451590.3
274579651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,212429.94,451680.88
274579652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212204.41,451555.5
274579655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212347.55,451497.82
