# Time;running vehicles [#];avg. speed [m/s];avg. trip speed [m/s]
240.00;53.00;11.38;10.99
241.00;52.00;11.11;10.99
242.00;53.00;10.81;10.99
243.00;52.00;10.53;11.00
244.00;52.00;10.58;11.00
245.00;52.00;10.71;11.00
246.00;52.00;10.70;10.94
247.00;52.00;10.94;10.94
248.00;52.00;11.00;10.94
249.00;53.00;11.00;10.94
250.00;53.00;11.32;10.94
251.00;53.00;11.49;10.94
252.00;53.00;11.25;10.96
253.00;53.00;11.27;10.96
254.00;52.00;11.20;11.02
255.00;51.00;11.02;11.03
256.00;51.00;10.83;11.03
257.00;51.00;10.97;11.03
258.00;50.00;11.03;10.99
259.00;50.00;11.19;10.99
260.00;51.00;11.08;10.99
261.00;51.00;11.06;10.99
262.00;50.00;10.85;11.00
263.00;49.00;10.84;10.98
264.00;50.00;10.81;10.98
265.00;50.00;10.96;10.98
266.00;50.00;10.81;10.98
267.00;51.00;10.49;10.98
268.00;51.00;10.58;10.98
269.00;52.00;10.63;10.98
270.00;53.00;10.89;10.98
271.00;54.00;11.45;10.98
272.00;53.00;11.83;10.97
273.00;53.00;12.00;10.97
274.00;53.00;12.12;10.97
275.00;53.00;11.92;10.97
276.00;54.00;11.44;10.97
277.00;53.00;11.51;10.95
278.00;54.00;11.40;10.95
279.00;53.00;11.27;10.83
280.00;53.00;11.11;10.83
281.00;53.00;11.21;10.83
282.00;53.00;11.28;10.83
283.00;54.00;11.07;10.83
284.00;54.00;11.11;10.83
285.00;54.00;11.15;10.83
286.00;54.00;10.96;10.83
287.00;52.00;11.06;10.88
288.00;53.00;10.88;10.88
289.00;54.00;10.99;10.88
290.00;52.00;11.11;10.89
291.00;51.00;11.15;10.87
292.00;49.00;11.11;10.88
293.00;49.00;11.54;10.88
294.00;50.00;11.37;10.87
295.00;51.00;11.47;10.87
296.00;52.00;11.41;10.87
297.00;52.00;11.32;10.87
298.00;52.00;11.39;10.87
299.00;51.00;11.48;10.87
300.00;51.00;11.01;10.86
301.00;51.00;11.49;10.86
302.00;51.00;11.42;10.87
303.00;51.00;11.49;10.87
304.00;50.00;11.75;10.86
305.00;51.00;11.67;10.86
306.00;51.00;11.68;10.79
307.00;54.00;11.16;10.79
308.00;54.00;11.30;10.79
309.00;54.00;11.26;10.79
310.00;55.00;11.14;10.79
311.00;55.00;11.23;10.79
312.00;55.00;11.25;10.79
313.00;56.00;10.98;10.79
314.00;56.00;10.98;10.79
315.00;56.00;10.66;10.79
316.00;57.00;10.42;10.79
317.00;57.00;10.42;10.79
318.00;57.00;10.41;10.79
319.00;57.00;10.51;10.79
320.00;57.00;10.66;10.78
321.00;57.00;10.12;10.77
322.00;59.00;10.09;10.77
323.00;59.00;10.01;10.77
324.00;59.00;9.83;10.77
325.00;59.00;9.94;10.77
326.00;57.00;10.09;10.74
327.00;57.00;10.12;10.74
328.00;57.00;10.39;10.74
329.00;56.00;10.39;10.73
330.00;56.00;10.56;10.73
331.00;58.00;10.39;10.73
332.00;59.00;10.24;10.73
333.00;59.00;10.41;10.76
334.00;57.00;10.81;10.71
335.00;57.00;11.13;10.71
336.00;57.00;10.97;10.71
337.00;59.00;10.67;10.71
338.00;59.00;10.79;10.71
339.00;59.00;11.09;10.71
340.00;58.00;11.42;10.72
341.00;58.00;11.41;10.72
342.00;57.00;11.33;10.71
343.00;57.00;11.13;10.71
344.00;57.00;10.83;10.71
345.00;57.00;10.89;10.71
346.00;57.00;11.00;10.71
347.00;58.00;10.87;10.71
348.00;59.00;10.86;10.71
349.00;59.00;10.96;10.71
350.00;60.00;10.71;10.71
351.00;60.00;10.55;10.71
352.00;59.00;10.56;10.68
353.00;59.00;10.77;10.68
354.00;60.00;11.05;10.68
355.00;60.00;11.09;10.72
356.00;60.00;11.45;10.72
357.00;60.00;11.57;10.72
358.00;61.00;11.22;10.72
359.00;61.00;11.09;10.74
360.00;61.00;11.08;10.74
361.00;60.00;11.15;10.73
362.00;60.00;11.08;10.73
363.00;59.00;11.16;10.72
364.00;59.00;11.00;10.72
365.00;59.00;10.58;10.72
366.00;59.00;10.58;10.72
367.00;60.00;10.51;10.72
368.00;60.00;10.68;10.72
369.00;59.00;11.06;10.73
370.00;60.00;10.87;10.73
371.00;60.00;10.52;10.72
372.00;60.00;10.60;10.72
373.00;62.00;10.09;10.72
374.00;61.00;10.23;10.72
375.00;61.00;10.53;10.74
376.00;60.00;10.81;10.75
377.00;60.00;10.98;10.75
378.00;61.00;10.99;10.75
379.00;62.00;11.07;10.75
380.00;62.00;11.44;10.75
381.00;63.00;11.25;10.75
382.00;62.00;11.17;10.75
383.00;63.00;10.96;10.75
384.00;63.00;10.98;10.75
385.00;63.00;11.04;10.75
386.00;64.00;11.08;10.75
387.00;65.00;11.32;10.75
388.00;65.00;11.52;10.75
389.00;64.00;11.52;10.72
390.00;62.00;11.68;10.75
391.00;62.00;11.60;10.75
392.00;62.00;11.79;10.75
393.00;60.00;11.67;10.68
394.00;62.00;11.23;10.68
395.00;62.00;11.10;10.68
396.00;61.00;10.74;10.67
397.00;61.00;10.57;10.67
398.00;60.00;10.35;10.69
399.00;61.00;10.11;10.69
400.00;61.00;9.86;10.67
401.00;61.00;10.08;10.67
402.00;60.00;10.21;10.68
403.00;59.00;10.36;10.66
404.00;59.00;10.32;10.66
405.00;59.00;10.47;10.66
406.00;58.00;10.65;10.65
407.00;59.00;10.59;10.65
408.00;59.00;10.94;10.65
409.00;59.00;11.34;10.65
410.00;60.00;11.26;10.65
411.00;61.00;11.28;10.65
412.00;61.00;11.34;10.65
413.00;61.00;11.37;10.65
414.00;61.00;11.32;10.64
415.00;61.00;10.92;10.64
416.00;62.00;10.46;10.64
417.00;63.00;9.62;10.64
418.00;63.00;9.71;10.64
419.00;63.00;9.90;10.64
420.00;64.00;10.21;10.64
421.00;64.00;10.53;10.64
422.00;64.00;10.72;10.64
423.00;66.00;10.57;10.64
424.00;67.00;10.40;10.64
425.00;67.00;10.47;10.65
426.00;66.00;10.54;10.64
427.00;66.00;10.98;10.64
428.00;65.00;11.32;10.68
429.00;65.00;11.50;10.68
430.00;65.00;11.51;10.68
431.00;65.00;11.24;10.69
432.00;66.00;11.06;10.69
433.00;66.00;11.06;10.69
434.00;65.00;10.85;10.68
435.00;65.00;10.79;10.68
436.00;66.00;10.77;10.68
437.00;67.00;10.83;10.68
438.00;66.00;10.98;10.67
439.00;67.00;10.95;10.67
440.00;66.00;11.19;10.67
441.00;68.00;10.73;10.67
442.00;70.00;10.61;10.67
443.00;72.00;10.49;10.67
444.00;72.00;10.88;10.68
445.00;71.00;11.34;10.69
446.00;72.00;11.58;10.69
447.00;72.00;11.81;10.69
448.00;72.00;11.50;10.69
449.00;74.00;10.99;10.69
450.00;74.00;10.88;10.69
451.00;73.00;10.89;10.69
452.00;71.00;10.85;10.72
453.00;72.00;10.79;10.72
454.00;72.00;11.26;10.72
455.00;72.00;11.59;10.72
456.00;72.00;11.72;10.72
457.00;71.00;11.55;10.73
458.00;70.00;11.27;10.71
459.00;70.00;11.36;10.71
460.00;71.00;11.38;10.71
461.00;71.00;11.60;10.71
462.00;71.00;11.81;10.71
463.00;71.00;11.74;10.72
464.00;71.00;11.62;10.72
465.00;71.00;11.82;10.71
466.00;71.00;11.74;10.71
467.00;70.00;11.77;10.73
468.00;71.00;11.85;10.73
469.00;71.00;12.22;10.73
470.00;71.00;12.41;10.73
471.00;71.00;12.35;10.73
472.00;71.00;12.18;10.73
473.00;70.00;11.89;10.73
474.00;70.00;11.81;10.73
475.00;70.00;11.66;10.73
476.00;71.00;11.45;10.73
477.00;73.00;11.02;10.73
478.00;74.00;11.01;10.73
479.00;74.00;11.18;10.71
480.00;74.00;11.47;10.71
481.00;74.00;11.59;10.71
482.00;74.00;11.56;10.69
483.00;74.00;11.55;10.69
484.00;75.00;11.41;10.69
485.00;75.00;11.43;10.69
486.00;77.00;11.12;10.71
487.00;77.00;10.98;10.70
488.00;77.00;11.08;10.70
489.00;77.00;11.07;10.70
490.00;77.00;10.97;10.70
491.00;77.00;11.08;10.70
492.00;78.00;10.97;10.70
493.00;78.00;10.92;10.70
494.00;79.00;10.88;10.70
495.00;78.00;10.74;10.70
496.00;78.00;10.83;10.70
497.00;81.00;10.29;10.70
498.00;81.00;10.10;10.70
499.00;84.00;9.66;10.70
500.00;85.00;9.47;10.70
501.00;85.00;9.63;10.70
502.00;85.00;9.88;10.70
503.00;86.00;10.13;10.70
504.00;87.00;10.41;10.70
505.00;87.00;10.74;10.70
506.00;87.00;10.97;10.70
507.00;87.00;10.81;10.69
508.00;86.00;10.80;10.67
509.00;87.00;10.55;10.67
510.00;86.00;10.19;10.68
511.00;86.00;9.99;10.68
512.00;88.00;9.67;10.68
513.00;87.00;9.73;10.69
514.00;89.00;9.89;10.69
515.00;89.00;10.19;10.69
516.00;88.00;10.50;10.69
517.00;90.00;10.47;10.69
518.00;90.00;10.57;10.69
519.00;92.00;10.49;10.69
520.00;94.00;10.54;10.69
521.00;94.00;10.59;10.69
522.00;94.00;10.71;10.69
523.00;93.00;10.80;10.69
524.00;93.00;10.93;10.69
525.00;93.00;10.98;10.68
526.00;94.00;10.96;10.68
527.00;93.00;10.86;10.68
528.00;94.00;10.89;10.68
529.00;94.00;10.83;10.68
530.00;95.00;10.60;10.68
531.00;94.00;10.46;10.69
532.00;95.00;10.27;10.69
533.00;95.00;10.07;10.69
534.00;95.00;10.01;10.69
535.00;94.00;10.17;10.79
536.00;93.00;10.61;10.78
537.00;95.00;10.74;10.78
538.00;95.00;10.94;10.78
539.00;94.00;11.17;10.78
540.00;93.00;11.27;10.78
541.00;92.00;11.25;10.76
542.00;92.00;11.26;10.76
543.00;92.00;11.17;10.76
544.00;91.00;11.37;10.76
545.00;90.00;11.53;10.75
546.00;89.00;11.61;10.74
547.00;89.00;11.76;10.74
548.00;90.00;11.66;10.74
549.00;91.00;11.37;10.74
550.00;92.00;11.17;10.72
551.00;91.00;10.93;10.73
552.00;91.00;10.88;10.75
553.00;91.00;10.79;10.75
554.00;90.00;10.84;10.72
555.00;89.00;10.77;10.73
556.00;87.00;10.60;10.70
557.00;87.00;10.38;10.70
558.00;87.00;10.23;10.70
559.00;88.00;10.23;10.70
560.00;88.00;10.31;10.70
561.00;87.00;10.76;10.80
562.00;87.00;11.18;10.80
563.00;86.00;11.52;10.78
564.00;86.00;11.61;10.78
565.00;86.00;11.55;10.78
566.00;85.00;11.58;10.76
567.00;85.00;11.64;10.76
568.00;85.00;11.47;10.76
569.00;86.00;11.30;10.76
570.00;87.00;11.08;10.76
571.00;85.00;10.82;10.76
572.00;85.00;10.84;10.76
573.00;82.00;10.90;10.71
574.00;84.00;10.94;10.71
575.00;84.00;10.73;10.71
576.00;84.00;10.91;10.71
577.00;83.00;11.36;10.71
578.00;82.00;11.39;10.71
579.00;82.00;11.54;10.71
580.00;82.00;11.52;10.71
581.00;82.00;11.45;10.71
582.00;82.00;11.53;10.71
583.00;82.00;11.79;10.71
584.00;81.00;12.00;10.81
585.00;80.00;11.93;10.80
586.00;79.00;11.85;10.78
587.00;78.00;11.96;10.79
588.00;77.00;11.84;10.79
589.00;77.00;11.75;10.80
590.00;77.00;11.79;10.80
591.00;77.00;11.82;10.80
592.00;77.00;11.67;10.82
593.00;77.00;11.56;10.82
594.00;77.00;11.29;10.82
595.00;77.00;10.95;10.82
596.00;80.00;10.49;10.82
597.00;80.00;10.60;10.82
598.00;80.00;10.64;10.82
599.00;80.00;10.67;10.82
600.00;80.00;10.79;10.82
601.00;80.00;10.89;10.82
602.00;80.00;10.99;10.82
603.00;81.00;10.95;10.82
604.00;81.00;10.92;10.82
605.00;81.00;10.83;10.82
606.00;82.00;10.91;10.82
607.00;82.00;10.64;10.82
608.00;82.00;10.53;10.83
609.00;82.00;10.67;10.83
610.00;84.00;10.73;10.83
611.00;85.00;10.93;10.83
612.00;85.00;10.76;10.80
613.00;87.00;10.48;10.80
614.00;87.00;10.45;10.80
615.00;88.00;10.33;10.80
616.00;89.00;10.32;10.80
617.00;89.00;10.76;10.80
618.00;89.00;10.84;10.80
619.00;89.00;11.17;10.80
620.00;88.00;11.31;10.80
621.00;89.00;11.45;10.80
622.00;90.00;11.31;10.80
623.00;90.00;11.46;10.80
624.00;91.00;11.11;10.80
625.00;90.00;10.83;10.80
626.00;89.00;10.72;10.79
627.00;89.00;10.52;10.80
628.00;89.00;10.76;10.87
629.00;89.00;10.79;10.87
630.00;88.00;10.85;10.85
631.00;86.00;10.97;10.83
632.00;85.00;11.31;10.82
633.00;84.00;11.73;10.81
634.00;85.00;11.83;10.81
635.00;86.00;11.95;10.81
636.00;86.00;12.11;10.80
637.00;84.00;12.56;10.79
638.00;85.00;12.56;10.78
639.00;86.00;12.65;10.78
640.00;85.00;12.61;10.78
641.00;85.00;12.73;10.78
642.00;86.00;12.53;10.78
643.00;86.00;11.98;10.78
644.00;85.00;11.93;10.74
645.00;83.00;11.73;10.73
646.00;83.00;11.67;10.74
647.00;85.00;11.44;10.74
648.00;85.00;11.31;10.74
649.00;86.00;11.30;10.74
650.00;86.00;11.13;10.74
651.00;86.00;11.21;10.74
652.00;85.00;11.37;10.73
653.00;87.00;11.24;10.72
654.00;87.00;11.45;10.72
655.00;87.00;11.69;10.72
656.00;87.00;11.96;10.72
657.00;87.00;12.12;10.72
658.00;84.00;12.35;10.73
659.00;84.00;12.51;10.73
660.00;83.00;12.59;10.73
661.00;83.00;12.36;10.73
662.00;83.00;12.10;10.73
663.00;83.00;11.97;10.73
664.00;81.00;11.76;10.72
665.00;81.00;11.74;10.72
666.00;82.00;11.93;10.72
667.00;80.00;12.19;10.76
668.00;79.00;12.16;10.77
669.00;79.00;12.19;10.77
670.00;80.00;11.94;10.77
671.00;80.00;11.91;10.77
672.00;80.00;11.98;10.77
673.00;79.00;11.97;10.76
674.00;79.00;11.85;10.76
675.00;80.00;11.73;10.76
676.00;79.00;11.68;10.76
677.00;79.00;11.60;10.75
678.00;79.00;11.39;10.75
679.00;79.00;11.30;10.75
680.00;80.00;11.17;10.75
681.00;81.00;11.52;10.75
682.00;80.00;11.62;10.75
683.00;80.00;11.62;10.75
684.00;79.00;11.69;10.75
685.00;78.00;11.46;10.82
686.00;80.00;10.99;10.82
687.00;80.00;11.11;10.82
688.00;80.00;11.08;10.82
689.00;80.00;11.28;10.82
690.00;80.00;11.32;10.82
691.00;79.00;11.30;10.82
692.00;79.00;11.49;10.82
693.00;79.00;11.70;10.82
694.00;80.00;11.59;10.82
695.00;78.00;11.54;10.82
696.00;78.00;11.85;10.82
697.00;77.00;11.92;10.82
698.00;77.00;11.91;10.82
699.00;77.00;11.87;10.81
700.00;77.00;11.92;10.81
701.00;78.00;11.74;10.81
702.00;78.00;11.77;10.81
703.00;78.00;11.65;10.81
704.00;78.00;11.66;10.81
705.00;77.00;11.74;10.81
706.00;79.00;11.39;10.81
707.00;79.00;11.35;10.81
708.00;79.00;11.32;10.85
709.00;79.00;11.16;10.85
710.00;79.00;11.09;10.85
711.00;79.00;11.13;10.85
712.00;79.00;11.16;10.85
713.00;79.00;11.24;10.85
714.00;80.00;11.13;10.85
715.00;80.00;11.37;10.84
716.00;81.00;11.64;10.84
717.00;81.00;11.81;10.84
718.00;81.00;11.92;10.84
719.00;81.00;12.10;10.84
720.00;82.00;12.05;10.84
721.00;82.00;12.27;10.84
722.00;82.00;12.28;10.84
723.00;81.00;12.12;10.85
724.00;82.00;11.89;10.85
725.00;81.00;11.89;10.84
726.00;81.00;11.84;10.84
727.00;81.00;11.51;10.84
728.00;81.00;11.56;10.84
729.00;80.00;11.96;10.84
730.00;79.00;12.48;10.85
731.00;79.00;12.38;10.85
732.00;78.00;12.50;10.84
733.00;79.00;12.45;10.84
734.00;79.00;12.33;10.87
735.00;79.00;12.44;10.87
736.00;80.00;12.32;10.87
737.00;80.00;12.30;10.86
738.00;79.00;12.51;10.85
739.00;78.00;12.71;10.84
740.00;78.00;12.57;10.84
741.00;78.00;12.42;10.83
742.00;78.00;12.38;10.83
743.00;76.00;12.34;10.83
744.00;75.00;12.26;10.83
745.00;75.00;12.54;10.83
746.00;75.00;12.57;10.83
747.00;75.00;12.54;10.83
748.00;76.00;12.26;10.83
749.00;77.00;12.10;10.83
750.00;76.00;12.11;10.83
751.00;76.00;12.16;10.83
752.00;78.00;11.68;10.85
753.00;76.00;11.60;10.86
754.00;76.00;11.65;10.86
755.00;77.00;11.48;10.86
756.00;78.00;11.54;10.86
757.00;78.00;11.83;10.86
758.00;78.00;12.04;10.86
759.00;78.00;12.20;10.86
760.00;78.00;12.23;10.84
761.00;78.00;12.02;10.83
762.00;78.00;12.10;10.83
763.00;78.00;12.29;10.83
764.00;77.00;12.42;10.81
765.00;77.00;12.57;10.81
766.00;76.00;12.86;10.81
767.00;76.00;12.86;10.80
768.00;76.00;13.05;10.80
769.00;76.00;12.99;10.80
770.00;75.00;13.13;10.83
771.00;75.00;13.19;10.83
772.00;74.00;13.20;10.83
773.00;73.00;13.10;10.85
774.00;73.00;12.87;10.85
775.00;76.00;12.32;10.85
776.00;75.00;12.46;10.85
777.00;75.00;12.88;10.85
778.00;75.00;12.91;10.85
779.00;74.00;12.96;10.85
780.00;73.00;12.80;10.90
781.00;73.00;12.89;10.90
782.00;74.00;12.72;10.90
783.00;76.00;12.35;10.90
784.00;76.00;12.43;10.90
785.00;75.00;12.37;10.89
786.00;75.00;12.48;10.89
787.00;75.00;12.70;10.89
788.00;74.00;12.66;10.90
789.00;74.00;12.80;10.90
790.00;74.00;12.89;10.90
791.00;75.00;12.34;10.90
792.00;76.00;12.09;10.90
793.00;78.00;11.83;10.90
794.00;75.00;11.80;10.90
795.00;77.00;11.33;10.90
796.00;76.00;11.05;10.90
797.00;76.00;11.16;10.90
798.00;76.00;11.49;10.90
799.00;76.00;11.79;10.90
800.00;77.00;11.94;10.90
801.00;76.00;12.23;10.90
802.00;77.00;12.43;10.90
803.00;77.00;12.34;10.91
804.00;78.00;12.15;10.91
805.00;78.00;12.02;10.91
806.00;79.00;11.91;10.91
807.00;79.00;12.00;10.91
808.00;78.00;11.95;10.91
809.00;77.00;12.24;10.91
810.00;77.00;12.51;10.91
811.00;77.00;12.64;10.90
812.00;75.00;12.30;10.96
813.00;74.00;11.92;10.95
814.00;74.00;11.57;10.95
815.00;74.00;11.52;10.95
816.00;74.00;11.61;10.95
817.00;75.00;11.99;10.95
818.00;75.00;12.15;10.97
819.00;73.00;12.47;10.97
820.00;75.00;12.30;10.97
821.00;75.00;12.26;10.97
822.00;76.00;12.03;10.97
823.00;74.00;11.95;10.96
824.00;74.00;11.80;10.96
825.00;75.00;11.83;10.96
826.00;76.00;11.69;10.96
827.00;76.00;11.83;10.96
828.00;76.00;12.06;10.96
829.00;76.00;11.99;10.96
830.00;75.00;11.90;10.97
831.00;75.00;11.75;10.97
832.00;75.00;11.64;10.97
833.00;75.00;11.25;10.98
834.00;74.00;11.20;10.97
835.00;73.00;11.15;10.98
836.00;71.00;11.23;10.98
837.00;71.00;11.53;10.98
838.00;70.00;11.94;10.98
839.00;70.00;12.38;10.98
840.00;69.00;12.83;11.00
841.00;69.00;13.01;11.00
842.00;69.00;12.49;11.00
843.00;69.00;12.40;11.00
844.00;68.00;12.42;11.01
845.00;68.00;12.60;11.01
846.00;68.00;12.80;11.01
847.00;66.00;13.29;11.02
848.00;66.00;13.63;11.02
849.00;66.00;13.97;11.02
850.00;67.00;13.78;11.02
851.00;69.00;13.34;11.02
852.00;67.00;13.07;11.04
853.00;68.00;12.57;11.04
854.00;67.00;12.42;11.06
855.00;67.00;12.28;11.06
856.00;69.00;11.93;11.06
857.00;69.00;12.07;11.06
858.00;69.00;12.31;11.06
859.00;69.00;12.62;11.06
860.00;68.00;12.86;11.09
861.00;68.00;13.09;11.09
862.00;68.00;13.00;11.09
863.00;67.00;12.73;11.08
864.00;67.00;12.69;11.08
865.00;68.00;12.79;11.08
866.00;68.00;12.86;11.09
867.00;67.00;12.95;11.09
868.00;68.00;13.00;11.09
869.00;67.00;12.98;11.08
870.00;66.00;12.54;11.08
871.00;66.00;12.45;11.08
872.00;65.00;12.31;11.12
873.00;65.00;12.30;11.12
874.00;65.00;12.32;11.15
875.00;65.00;12.44;11.15
876.00;65.00;12.36;11.15
