edge_id,from_junction,to_junction,flow_volume
-22716073,243636103,243636097,0
-22716549#6,275309964,249176474,0
-22724699#1,497590182,243749545,0
-22724699#11,497583472,497590134,0
-22724699#2,497590122,497590182,0
-22724699#6,497590134,497590122,0
-233675413#0,4301348943,274579651,0
-233675413#1,243636066,4301348943,0
-233675413#2,2113472091,243636066,0
-233675413#3,243351999,2113472091,0
-233675413#6,274041328,243351999,0
-233675413#8,cluster_1526094879_274041348,274041328,0
-23436553#1,243636072,243636071,0
-23436553#2,765868917,243636072,0
-23436553#3,245975606,765868917,0
-23525483#0,253813231,243636072,0
-24608845,267783847,267783852,0
-24608846#1,267517561,267517560,0
-24634411,267782471,267782468,0
-24634413#0,5497313246,267782472,0
-24634413#2,267782476,5497313246,0
-24634414#0,267782479,497590084,0
-24634414#1,267782465,267782479,0
-24634414#2,267782483,267782465,0
-24634414#3,267782484,267782483,0
-24634414#4,267782478,267782484,0
-24634414#5,32564123,267782478,0
-24634415,267782487,267782484,0
-24634417,267782464,267782492,0
-24634505,267783854,267783847,0
-24634506#1,267783860,243641576,0
-24634506#2,267783861,267783860,0
-24634508,247957628,275309623,0
-24634509#0,275309623,275309964,0
-24634509#7,267783861,275309623,0
-24634510#0,267783873,267783854,0
-24634510#15,267783891,267783877,0
-24634510#18,313321254,267783891,0
-24634510#5,1516302011,267783873,0
-24634510#6,765868918,1516302011,0
-24634510#8,267783877,765868918,0
-24634513#6,267783890,267783877,0
-24634514#1,267783900,267783891,0
-24634516#2,267783911,267783904,0
-24634517#16,267783925,267783922,0
-24634517#3,267783914,cluster_1500083093_1500083101_1507566574_267783912,0
-24634517#5,267783916,267783914,0
-24634517#7,267783933,267783916,0
-24634517#8,267783920,267783933,0
-24634518#0,1423242655,267783916,0
-24634518#1,1423242665,1423242655,0
-24634518#2,1423242655,1423242665,0
-24634519,267783934,267783933,0
-24634521#0,2278775936,267783920,0
-24634521#1,2278775935,2278775936,0
-24634521#2,267783922,2278775935,0
-24693977#1,247957628,32564122,0
-25117391#2,497590080,273472398,0
-25136986,273906281,194342319,0
-25145011#0,320006200,274041325,0
-25145011#2,274041328,320006200,0
-25145012#0,274579655,274041330,0
-25145012#1,274579660,274579655,0
-25145012#3,274579668,274579648,0
-25145012#4,320006204,274579668,0
-25145012#5,320006200,320006204,0
-25145012#6,320006202,320006200,0
-25145013#0,320006202,274041341,0
-25145013#1,cluster_1526094879_274041348,320006202,0
-25145014#0,274041350,243636067,0
-25145014#1,274579649,274041350,0
-25145014#2,273906295,274579649,0
-25145014#3,274579652,273906295,0
-25145014#4,273906286,274579652,0
-25149001#5,274081800,274081797,0
-25187889,274579648,274041350,0
-25187893,274579657,274579655,0
-25187895#0,274579661,274579658,0
-25187896,274579668,274579661,0
-25190140#2,274604006,cluster_1839947197_277421914,0
-26642362#0,273906290,273906281,0
-26642362#1,273906286,273906290,0
-26642362#2,243636103,273906286,0
-26642362#3,322888900,243636103,0
-26642362#5,273906289,322888900,0
-26642363,273906281,273906283,0
-266565295#5,371774881,98101378,0
-26677213#5,292572191,292578363,0
-26677214#2,292572192,292572191,0
-26677214#3,683260864,292572192,0
-26677214#4,292572193,683260864,0
-26677214#5,292572194,292572193,0
-26677216#0,292578419,292572193,0
-26677216#2,292578428,292578419,0
-26677216#4,cluster_1840209252_292578437,292578428,0
-26677416#1,292580629,292588757,0
-26677416#3,292580631,292580630,0
-26677416#7,497590089,292580631,0
-26677417#1,292572196,292580629,0
-26677539,292581823,292580631,0
-26677540#1,292581825,292581824,0
-26677541,292581824,292581825,0
-26677542#0,292572196,292584327,0
-26677542#1,292572194,292572196,0
-28111977#1,356700154,305559015,0
-28111977#10,274591023,274579658,0
-28111977#4,364444368,356699998,0
-28111977#5,273906290,364444368,0
-28111977#9,274579658,274579657,0
-28319300#2,503422237,497590173,0
-285549250#1,89173763,356694630,0
-286646456#0,cluster_2302665030_2337351369,2337351365,0
-286646456#2,1137585395,cluster_2302665030_2337351369,0
-306240162#1,cluster_2043172766_2043172767_2071663041,2330725114,0
-315358242#1,30624897,30624895,0
-315358242#2,497590082,30624897,0
-315358245,267517559,gneJ13,0
-315358246,273472509,1427494803,0
-315358248#1,2230685408,267517559,0
-315358251#0,1840464393,497590082,0
-315358252#1,89127267,273472509,0
-315358253#0,267782490,2230685408,0
-315358253#1,1205464844,267782490,0
-315358253#2,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,1205464844,0
-315358255#4,243749571,1137585395,0
-315358257#0.26,gneJ25,273472398,0
-315358257#2,243749571,gneJ25,0
-315358258,60044025,683260762,0
-315392062#4,243641575,247957628,0
-32124743,1833941883,267408977,0
-32124744,267408977,249176474,0
-32124745,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190,1833941883,0
-32395288#1,1840038411,364442178,0
-32395288#2,4385816806,1840038411,0
-32395288#3,1840038411,4385816806,0
-32395327#1,364443388,364443218,0
-32395361#1,364443653,364443525,0
-32978638#0,310446273,267408897,0
-32999434#1,32564122,32564123,0
-37386279,267782478,267782476,0
-37681424#0,305559015,273906268,0
-37681424#1,273906276,305559015,0
-379510292,310985749,503422237,0
-393420106#1,cluster_1815670941_305559016,305559019,0
-40888350,497590084,497590083,0
-40888351#0,497590087,497590085,0
-40888351#2,497590089,497590087,0
-40888351#6,497590081,497590089,0
-40888356#6,497590136,497590134,0
-40888359,497590178,497590173,0
-447569998#1,690288770,89127267,0
-4942389#1,311487344,1840464316i,0
-53396619#6,292578428,497590155,0
-54169231#2,292578419,683260864,0
-612075153#0,1509951406,683260762,0
-612075153#1,243749571,1509951406,0
-653473568#0,274591023,194342350,0
-653473568#1,194342352,274591023,0
-653473569#1,194342361,274081800,0
-653473569#2,274041325,194342361,0
-653473569#4,274041341,274041325,0
-653473569#5,cluster_1526094852_194342371,274041341,0
-83304175#2,1833941877,gneJ182,0
104010475#0,cluster_274083968_cluster_1200364014_1200364088,1200363973,0
104012170,1200363973,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190,0
10425609#0,89129116,cluster_1041665625_cluster_1387938793_1387938796_cluster_1757124361_1757124367_32564126,0
10427692#0,89173763,89173755,1
10427692#2,89173755,267783904,0
10427692#5,267783904,gneJ12,0
10427692#7.50,gneJ12,1782978609,0
10427692#8,1782978609,313321254,0
120125554,267783911,267783914,0
128361109#1,cluster_2229700350_456368155,30503242,0
128361109#3,30503242,1602381826,0
128361109#4,1602381826,cluster_1863241547_1863241548_1976170214,0
128906555,273906289,274579651,0
129379918#0,89127267,497590081,0
129379920#0,497590907,1427494803,0
129379921#0,cluster_1427494838_273472399,497590907,0
129379922,273472509,89127267,0
129379925,497590081,30624895,0
129379967#0,1427494830,cluster_1427494838_273472399,0
129379968,cluster_1427494838_273472399,1427494830,0
136436466,30624898,30503246,0
136436468#1,292578363,243749518,0
137132993#0,310985749,1504207558,0
137132994#1,1504207553,1504207555,0
137132996,1504207555,497583472,0
137132998,497583472,497583474,0
137133006#0,1863241614,1782978693,0
137133006#1,1782978693,cluster_1863241547_1863241548_1976170214,0
137454133#2,243749561,307619666,0
138300620#0,1516302036,1516302011,0
160314345#0,243641575,267782468,0
160314345#1,267782468,5497313246,0
160314345#2,5497313246,267782465,0
160314345#3,267782465,267782464,0
160314345#4,267782464,267517559,0
160314346#0,267783847,243641576,0
160314346#1,243641576,243641575,0
160314351#0,267783861,267783852,0
164051413,cluster_1526094852_194342371,cluster_274083968_cluster_1200364014_1200364088,0
168702039#1,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,32564123,0
168702040#1,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,2001713465,0
168702040#2,2001713465,267517561,0
168702040#3,267517561,1833965819,0
168702040#4,1833965819,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,0
170018165#0,1863241614,1863241632,0
170018165#1,1863241632,gneJ21,0
170018165#2.175,gneJ21,2330725114,0
170425366#0,1815670952,308796066,0
172488482#0,1833941877,267408977,0
172488483#0,1833941883,1833941877,0
173203413#0,497590122,cluster_497590130_656751589,0
174800513,cluster_1840209209_268417350,243641585,0
175770996#0,1782978693,1863241546,0
176550246,1602381830,cluster_1863241547_1863241548_1976170214,0
176550249#0,1602381828,267783890,0
176550249#1,267783890,1516302036,0
176550249#3,1516302036,cluster_1840209209_268417350,0
18809672#0,89173763,243636120,0
18809672#2,243636120,1815670952,0
18809672#5,1815670952,273906276,0
18809672#7,308796066,cluster_1815670941_305559016,0
18813598#0,89173808,3079046105,0
18813598#2,3079046105,194342319,0
18813598#7,194342319,274604006,0
18813598#8,274604006,194342350,0
201089420#0,497590173,273472398,0
201089423#0,32564122,249176474,0
201089423#2,249176474,267408977,0
201201935#0,305559019,cluster_1815670941_305559016,0
201201945#0,243641585,243749518,0
201201945#2,243749518,243749545,0
201201945#3,243749545,497590178,0
201201945#8,497590178,497590173,0
201201950#0,cluster_1840209209_268417350,267782471,0
201201950#1,267782471,267782472,0
201201950#3,267782472,267782479,0
201201950#4,267782479,2769732337,0
201201953#0,243641585,497590188,0
201201953#12,195635398,1602381830,0
201201953#2,497590188,cluster_497590130_656751589,0
201201953#4,cluster_497590130_656751589,195635398,0
201238718#0,243641575,243641583,0
201238718#1,243641583,cluster_1840209209_268417350,0
201238719#0,cluster_1863241547_1863241548_1976170214,1863241614,0
201238724,267783854,243641583,0
201238726#0,313321254,gneJ10,0
201238726#0.117,gneJ10,cluster_1863241547_1863241548_1976170214,0
201238729#2,1976170215,1863241546,0
201238729#3,1863241546,cluster_2229700350_456368155,0
201238730,cluster_1863241547_1863241548_1976170214,1602381828,0
201950247#0,497590085,497590145,0
201950247#3,2272006404,497590155,0
201950247#4,497590155,497590083,0
201950247#7,497590083,497590082,0
201950250#0,292572194,292581826,0
201950250#1,292581826,292581823,0
201950250#2,292581823,497590085,0
201950259#0,292572191,503422242,0
201950259#4,503422242,497590080,0
201950263#0,497590080,292584327,0
201950263#7,292584327,1427494830,0
201963522#0,cluster_1815670941_305559016,364443218,0
201963522#1,364443218,364443429,0
201963522#2,364443429,364443525,0
201963522#3,364443525,318410702,0
201963522#4,318410702,273906267,0
201963522#5,273906267,364442178,0
201963522#6,364442178,89173808,0
201963535,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190,1200363969,0
201963537#1,cluster_1041665625_cluster_1387938793_1387938796_cluster_1757124361_1757124367_32564126,cluster_274083968_cluster_1200364014_1200364088,0
202092675,311487344,gneJ15,0
202092676#0,1840464353,30503246,0
204588664#0,765868918,765868917,0
218647954,2278775936,2278775935,0
224251774#0,2277358892,2903266814,0
224251774#1,2903266814,2337351365,0
224251776#0,2277358892,2330725114,0
224892339#0,1137585389,1137585395,0
224892361#1,cluster_2302665030_2337351369,2337351360,0
224892361#2,2337351360,1137585389,0
224892361#3,1137585389,1782978746,0
224892361#7,1782978746,1863241632,0
22690205#0,243351999,243636071,0
22690205#2,243636071,243352002,0
22690205#3,243352002,245975606,0
22716069#0,243636066,243636067,0
22716069#2,320006204,194342361,0
22716072#0,243636120,243636097,0
22716072#4,243636097,322888900,0
22716073,243636097,243636103,0
22716549#0,249176474,275309964,0
22724699#2,497590182,497590122,0
22724699#3,497590122,497590134,0
22724699#7,497590134,497583472,0
22879845,245975611,245975614,0
23166741#0,2769732343,497590084,0
23166741#2,497590084,cluster_1840209252_292578437,0
23166741#5,cluster_1840209252_292578437,243641585,0
233675413#0,274579651,4301348943,0
233675413#1,4301348943,243636066,0
233675413#2,243636066,2113472091,0
233675413#3,2113472091,243351999,0
233675413#4,243351999,274041328,0
233675413#7,274041328,cluster_1526094879_274041348,0
23436553#0,243636071,243636072,0
23436553#2,243636072,765868917,0
23436553#4,245975606,245975611,0
23525483#6,765819228,253813231,0
24599188#0.94,gneJ182,1833941877,0
24608844,267517536,267517558,0
24608845,267783852,267783847,0
24634411,267782468,267782471,0
24634413#0,267782472,5497313246,0
24634413#1,5497313246,267782476,0
24634414#0,497590084,267782479,0
24634414#1,267782479,267782465,0
24634414#2,267782465,267782483,0
24634414#3,267782483,267782484,0
24634414#4,267782484,267782478,0
24634414#5,267782478,gneJ14,0
24634415,267782484,267782487,0
24634416,267782483,267782490,0
24634417,267782492,267782464,0
24634505,267783847,267783854,0
24634506#0,243641576,267783860,0
24634506#2,267783860,267783861,0
24634507,275309623,247957628,0
24634509#0,275309964,275309623,0
24634509#1,275309623,267783861,0
24634510#0,267783854,267783873,0
24634510#1,267783873,1516302011,0
24634510#16,267783891,313321254,0
24634510#6,1516302011,765868918,0
24634510#7,765868918,267783877,0
24634510#9,267783877,267783891,0
24634511,267783873,267783883,0
24634513#0,267783877,267783890,0
24634514#0,267783891,267783900,0
24634516#0,267783904,267783911,47
24634517#1,cluster_1500083093_1500083101_1507566574_267783912,267783914,0
24634517#13,267783922,267783925,0
24634517#4,267783914,267783916,0
24634517#6,267783916,267783933,0
24634517#8,267783933,267783920,0
24634517#9,267783920,267783922,0
24634518#0,267783916,1423242655,0
24634519,267783933,267783934,0
24634521#0,267783920,2278775936,0
24693977#0,32564122,247957628,0
25117391#0,273472398,497590080,0
25122731#0,89173808,336359451,0
25136986,194342319,273906281,0
25145011#0,274041325,320006200,0
25145011#1,320006200,274041328,0
25145012#3,274579648,274579668,0
25145012#4,274579668,320006204,0
25145012#5,320006204,320006200,0
25145012#6,320006200,320006202,0
25145013#0,274041341,320006202,0
25145013#1,320006202,cluster_1526094879_274041348,0
25145014#0,243636067,274041350,0
25145014#1,274041350,274579649,0
25145014#3,273906295,274579652,0
25145014#4,274579652,273906286,0
25149001#4,274081797,274081800,0
25149219#1,cluster_1041665625_cluster_1387938793_1387938796_cluster_1757124361_1757124367_32564126,cluster_1526094852_194342371,0
25187889,274041350,274579648,0
25187891,274579649,274579651,0
25187893,274579655,274579657,0
25187895#0,274579658,274579661,0
25187896,274579661,274579668,0
25190140#1,cluster_1839947197_277421914,274604006,0
26642362#0,273906281,273906290,0
26642362#1,273906290,273906286,0
26642362#2,273906286,243636103,0
26642362#3,243636103,322888900,0
26642362#4,322888900,273906289,0
266565295#5,98101378,371774881,0
26676668,292572181,292572191,0
26677213#0,292578363,292572191,0
26677214#0,292572191,292572192,0
26677214#3,292572192,683260864,0
26677214#4,683260864,292572193,0
26677214#5,292572193,292572194,0
26677216#0,292572193,292578419,0
26677216#1,292578419,292578428,0
26677216#3,292578428,cluster_1840209252_292578437,0
26677416#2,292580629,292580630,0
26677416#3,292580630,292580631,0
26677416#4,292580631,497590089,0
26677539,292580631,292581823,0
26677540#0,292580630,292581824,0
26677540#1,292581824,292581825,0
26677541,292581825,292581824,0
26677542#0,292584327,292572196,0
26677542#1,292572196,292572194,0
272042143,2769732333,2769732343,0
272042145,2769732337,2769732328,0
28111977#0,cluster_1815670941_305559016,305559015,0
28111977#10,274579658,274591023,0
28111977#8,273906293,274579657,0
28111977#9,274579657,274579658,0
28319300#0,497590173,503422237,0
28319300#3,503422237,310985749,0
28361235#0,1840464353,311487344,0
285716192#0,1833941883,gneJ254,0
285716192#0.83,gneJ254,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190,0
286646456#0,2337351365,cluster_2302665030_2337351369,0
286646456#1,cluster_2302665030_2337351369,1137585395,0
30482614,336359451,cluster_336359446_470954969,0
30482615#1,cluster_336359446_470954969,273906183,0
306240162#0,2330725114,cluster_2043172766_2043172767_2071663041,0
306431419,1504207558,310985750,0
315358242#0,30624895,30624897,0
315358242#2,30624897,497590082,0
315358242#3,497590082,1840464393,0
315358244,3214665957,30624890,0
315358245.27,gneJ15,267517559,0
315358246,1427494803,273472509,0
315358248#0,267517559,2230685408,0
315358251#1,1840464393,30624898,0
315358253#0,2230685408,267782490,0
315358253#1,267782490,1205464844,0
315358253#2,1205464844,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,0
315358255#0,1137585395,243749571,0
315358257#0,273472398,gneJ25,0
315358257#0.43,gneJ25,243749571,0
315392062#0,247957628,243641575,0
31860333#0,356699998,356700147,0
31860333#1,356700147,356700154,0
32021112#0,267408897,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,0
32124637#0,267517557,1636343531,0
32124637#1,1636343531,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,0
32124743,267408977,1833941883,0
32395288#0,364442178,1840038411,0
32395327#0,364443218,364443388,0
32395361#0,364443525,364443653,0
32978638#0,267408897,310446273,0
32999110#0,32564123,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,0
32999434#0,32564123,32564122,0
32999435,371774881,267517557,0
37386279,267782476,267782478,0
37681424#1,305559015,273906276,0
37681425#7,273906268,273906267,0
379897806,3214665956,cluster_1427494838_273472399,0
379897807,30624890,cluster_1427494838_273472399,0
386687235,30503246,2769732328,0
386687239#0,2769732337,267782492,0
386687239#1,267782492,1840464353,0
386687242,30624898,2769732343,0
399835085#0,683260762,60044025,0
402600768#0,cluster_1833965782_1833965806_371781950_cluster_32564118_371775504,1833965795,0
402600768#1,1833965795,gneJ127,0
40888351#0,497590085,497590087,0
40888351#1,497590087,497590089,0
40888351#3,497590089,497590081,0
40888354#0,497590087,497590113,0
40888356#0,497590134,497590136,0
40888359,497590173,497590178,0
40888360#0,497590188,497590182,0
447569997#0,89127267,690288770,0
4942376,30624897,32564060,0
51857516#1,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,371774881,0
51857517#0.33,gneJ127,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,0
51857518#1,cluster_371462086_469470779_98101387_cluster_371462067_371775459_371775468,267408897,0
53396619#3,497590113,497590155,0
53396619#5,497590155,292578428,0
54169231#0,683260864,292578419,0
612075153#0,683260762,1509951406,0
612075153#1,1509951406,243749571,0
653473568#0,194342350,274591023,0
653473568#1,274591023,194342352,0
653473569#0,194342352,274081800,0
653473569#1,274081800,194342361,0
653473569#2,194342361,274041325,0
653473569#3,274041325,274041341,0
653473569#5,274041341,cluster_1526094852_194342371,0
